alloy_name,Text,Co,Cr,Ni,Al,Ti,Ta,B,C,Cu,Fe,Hf,Mn,Mo,Nb,V,W,Zr,RT_YS,RT_UTS,RT_EL,HT_YS,HT_UTS,HT_EL
AT00,An equiatomic CoCrNi medium-entropy alloy with a single face-centered cubic (FCC) phase was aged at 850 °C for 10 h and mechanically tested at 700 °C.,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,721.0,69.8,137.0,384.0,40.9
AT22,A Co-31.97Cr-31.97Ni-2.04Al-2.04Ti (at.%) high-entropy alloy exhibiting a dual-phase microstructure of face-centered cubic (FCC) matrix with ordered L1_2 precipitates was aged at 850 °C for 10 h and mechanically tested at 700 °C.,31.97,31.97,31.97,2.04,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,909.0,50.9,370.0,559.0,15.6
ATT111,"A Co-32.32Cr-32.32Ni-1.01Al-1.01Ti-1.01Ta (at.%) high-entropy alloy exhibiting a multi-phase microstructure of face-centered cubic (FCC) matrix, ordered L1_2 precipitates, and eta (η) phase was aged at 850 °C for 10 h and tested at 700 °C.",32.32,32.32,32.32,1.01,1.01,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,903.0,53.0,279.0,633.0,52.4
ATT221,"A Co-31.64Cr-31.64Ni-2.04Al-2.04Ti-1.01Ta (at.%) alloy exhibiting a face-centered cubic (FCC) matrix, ordered L1_2 precipitates, and eta (η) phase was aged at 850 °C for 10 h and mechanically tested at 700 °C.",31.64,31.64,31.64,2.04,2.04,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,1173.0,32.8,620.0,939.0,23.5
AT00-500h,An equiatomic CoCrNi medium-entropy alloy with a single face-centered cubic (FCC) phase was subjected to prolonged aging at 850 °C for 500 h and tested at 700 °C.,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,730.0,75.3,134.0,388.0,38.7
AT22-500h,A Co-31.97Cr-31.97Ni-2.04Al-2.04Ti (at.%) high-entropy alloy exhibiting a dual-phase microstructure of face-centered cubic (FCC) matrix with ordered L1_2 precipitates was aged at 850 °C for 500 h and mechanically tested at 700 °C.,31.97,31.97,31.97,2.04,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,873.0,56.0,284.0,552.0,21.2
ATT111-500h,A Co-32.32Cr-32.32Ni-1.01Al-1.01Ti-1.01Ta (at.%) high-entropy alloy exhibiting a dual-phase microstructure of face-centered cubic (FCC) matrix with eta (η) phase was aged at 850 °C for 500 h and mechanically tested at 700 °C.,32.32,32.32,32.32,1.01,1.01,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,868.0,54.0,270.0,557.0,54.3
ATT221-500h,"A Co-31.64Cr-31.64Ni-2.04Al-2.04Ti-1.01Ta (at.%) high-entropy alloy exhibiting a multi-phase microstructure comprising face-centered cubic (FCC), ordered L1_2 precipitates, and eta (η) phase was aged at 850 °C for 500 h and mechanically tested at 700 °C.",31.64,31.64,31.64,2.04,2.04,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,1012.0,35.6,412.0,695.0,36.6
BYG331-3#,A W-1.76Mo-1.52C-1.31Nb alloy with an unknown phase structure was heat treated at 1160 °C for 20 min followed by 800 °C for 10 h and tested at 700 °C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.52,1.31,0.0,1.76,0.0,1012.0,1185.0,7.0,,,
BYG331-3#,A W-1.76Mo-1.52C-1.31Nb alloy with an unknown phase structure was heat treated at 1160 °C for 20 min followed by 800 °C for 10 h and tested at 700 °C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.52,1.31,0.0,1.76,0.0,1058.0,1110.0,3.0,,696.0,0.5
BYG331-3#,A W-1.76Mo-1.52C-1.31Nb alloy with an unknown phase structure was heat treated at 1160 °C for 20 min followed by 800 °C for 10 h and tested at 700 °C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.52,1.31,0.0,1.76,0.0,1049.0,1100.0,2.5,,,
BYG331-5#,A W-1.66Mo-1.39C-1.34Nb alloy with an unknown phase structure was heat treated at 1150 °C for 2 h followed by 800 °C for 2 h and tested at 700 °C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.39,1.34,0.0,1.66,0.0,1040.0,1440.0,20.6,920.0,1020.0,3.0
BYG331-5#,A W-1.66Mo-1.39C-0.04Nb alloy with an unknown phase structure was solution treated at 1120 °C for 1 h followed by aging at 800 °C for 10 h and tested at 700 °C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.39,1.34,0.0,1.66,0.0,1065.0,1451.0,18.5,863.0,1009.0,
