duplicate_group_id,duplicate_count,source_entries,Material,Text,Tensile_value,Yield_value,Elongation_value,cluster_number,cluster_label
1109,3,"1111,1145,2408",ASTM A514 Steel,"Grade Q, Plate Thickness 19 - 64 mm",828.0,690.0,18.0,11,plate – no special treatment – general-purpose steel
1110,3,"1112,1184,2384",ASTM A514 Steel,"Grade P, Plate Thickness 64 - 150 mm",793.0,620.0,16.0,11,plate – no special treatment – general-purpose steel
1111,3,"1113,1135,2366",ASTM A514 Steel,"Grade Q, Plate Thickness _ 19 mm",828.0,690.0,18.0,11,plate – no special treatment – general-purpose steel
1112,3,"1114,1301,2447",ASTM A514 Steel,"Grade P, Plate Thickness 19 - 64 mm",828.0,690.0,18.0,11,plate – no special treatment – general-purpose steel
1113,3,"1115,1140,2443",ASTM A514 Steel,"Grade Q, Plate Thickness 64 - 120 mm",793.0,620.0,16.0,11,plate – no special treatment – general-purpose steel
1114,3,"1116,1129,2739",ASTM A514 Steel,"Grade P, Plate Thickness _ 19 mm",828.0,690.0,18.0,11,plate – no special treatment – general-purpose steel
1115,3,"1117,1142,2362",ASTM A709 Steel,"Grade 100 And 100W, > 64 mm & < 100 mm",690.0,620.0,17.0,1,Hot rolled – general construction steel
1116,3,"1118,1147,2433",ASTM A710 Steel,"Grade A, Class 3, 6.4 - 50 mm Inclusive",585.0,515.0,20.0,1,Hot rolled – general construction steel
1117,3,"1119,1136,2578",ASTM A710 Steel,"Grade A, Class 2, 6.4 - 25 mm Inclusive",495.0,450.0,20.0,1,Hot rolled – general construction steel
1118,3,"1120,1144,2613",ASTM A709 Steel,"Grade 100 And 100W, _ 64 mm",760.0,690.0,18.0,1,Hot rolled – general construction steel
1119,3,"1121,1287,2524",ASTM A710 Steel,"Grade A, Class 2, Thickness > 50 mm",450.0,380.0,20.0,1,Hot rolled – general construction steel
1120,3,"1122,1213,2496",ASTM A710 Steel,"Grade A, Class 3, Thickness > 50 mm",515.0,450.0,20.0,1,Hot rolled – general construction steel
1121,3,"1123,1285,2731",ASTM A387 Alloy Steel,"Grade 9, Class 2",515.0,310.0,18.0,1,Hot rolled – general construction steel
