duplicate_group_id,source_entry,Material,Text,Tensile_value,Yield_value,Elongation_value,cluster_number,cluster_label,DOIs,Files,problem,status,Table_topic,title,abstract,Tensile_name,Tensile_unit,Yield_name,Yield_unit,Elongation_name,Elongation_unit,H,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Y,Zr,Nb,Mo,Sn,Sb,La,Ce,Ta,W,Pb,Bi,Other_ele,Text_addition,actions,cluster_number_0_to_11
1,1,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",745.0,440.0,21.0,0,Carburized – quenched (oil) – wear-resistant surface steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",0
1,2093,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",745.0,440.0,21.0,0,Carburized – quenched (oil) – wear-resistant surface steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 925C (1700F), Machined To 25 mm (1 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 800C (1470F) And Oil Quenched, 150C (300F) Temper",0
2,2,AISI 4027 Steel,"Water Quenched 865C (1590F), 540C (1000F) Temper, 100 mm (4 In.) Round",689.0,510.0,25.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 540C (1000F) Temper, 100 mm (4 In.) Round",10
2,2096,AISI 4027 Steel,"Water Quenched 865C (1590F), 540C (1000F) Temper, 100 mm (4 In.) Round",689.0,510.0,25.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 540C (1000F) Temper, 100 mm (4 In.) Round",10
3,3,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 50 mm (2 In.) Round",786.0,615.0,22.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 480C (900F) Temper, 50 mm (2 In.) Round",10
3,2099,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 50 mm (2 In.) Round",786.0,615.0,22.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 480C (900F) Temper, 50 mm (2 In.) Round",10
4,4,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 25 mm (1 In.) Round",1035.0,917.0,16.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 480C (900F) Temper, 25 mm (1 In.) Round",10
4,2214,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 25 mm (1 In.) Round",1035.0,917.0,16.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 480C (900F) Temper, 25 mm (1 In.) Round",10
5,5,AISI 4027 Steel,"Water Quenched 865C (1590F), 595C (1100F) Temper, 50 mm (2 In.) Round",717.0,550.0,24.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 595C (1100F) Temper, 50 mm (2 In.) Round",10
5,2161,AISI 4027 Steel,"Water Quenched 865C (1590F), 595C (1100F) Temper, 50 mm (2 In.) Round",717.0,550.0,24.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 595C (1100F) Temper, 50 mm (2 In.) Round",10
6,6,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 100 mm (4 In.) Round",696.0,540.0,25.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 480C (900F) Temper, 100 mm (4 In.) Round",10
6,2090,AISI 4027 Steel,"Water Quenched 865C (1590F), 480C (900F) Temper, 100 mm (4 In.) Round",696.0,540.0,25.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 865C (1590F), 480C (900F) Temper, 100 mm (4 In.) Round",10
7,7,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 775C (1430F) And Oil Quenched, 150C (300F) Temper",931.0,620.0,14.0,0,Carburized – quenched (oil) – wear-resistant surface steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 775C (1430F) And Oil Quenched, 150C (300F) Temper",0
7,2103,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 775C (1430F) And Oil Quenched, 150C (300F) Temper",931.0,620.0,14.0,0,Carburized – quenched (oil) – wear-resistant surface steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F), Box Cooled To Rt, Reheated To 775C (1430F) And Oil Quenched, 150C (300F) Temper",0
8,8,AISI 4027 Steel,"Normalized, 25 mm (1 In.) Round",640.0,420.0,25.0,9,Normalized – general-purpose steel (round normalized stock),,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized, 25 mm (1 In.) Round",9
8,2087,AISI 4027 Steel,"Normalized, 25 mm (1 In.) Round",640.0,420.0,25.0,9,Normalized – general-purpose steel (round normalized stock),,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.8,98.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized, 25 mm (1 In.) Round",9
9,9,AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 100 mm (4 In.) Round",521.0,341.0,34.0,4,Normalized (air cooled) – general-purpose steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,98.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 910C (1670F), Air Cooled, 100 mm (4 In.) Round",4
9,2098,AISI 4118 Steel,"Normalized At 910C (1670F), Air Cooled, 100 mm (4 In.) Round",521.0,341.0,34.0,4,Normalized (air cooled) – general-purpose steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,98.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 910C (1670F), Air Cooled, 100 mm (4 In.) Round",4
10,10,AISI 4118H Steel,"Normalized At 910C (1670F), Air Cooled, 50 mm (2 In.) Round",534.0,376.0,34.0,4,Normalized (air cooled) – general-purpose steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,98.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 910C (1670F), Air Cooled, 50 mm (2 In.) Round",4
10,2121,AISI 4118H Steel,"Normalized At 910C (1670F), Air Cooled, 50 mm (2 In.) Round",534.0,376.0,34.0,4,Normalized (air cooled) – general-purpose steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,98.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 910C (1670F), Air Cooled, 50 mm (2 In.) Round",4
11,11,AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 25 mm (1 In.) Round",793.0,441.0,22.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant),,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,98.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 25 mm (1 In.) Round",8
11,2095,AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 25 mm (1 In.) Round",793.0,441.0,22.0,8,Carburized – quenched (oil) – wear-resistant surface steel (variant),,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,98.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 25 mm (1 In.) Round",8
12,12,AISI 4130 Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",917.0,841.0,20.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.95,0.5,97.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 855C (1570F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",10
12,2759,AISI 4130 Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",917.0,841.0,20.0,10,Quenched (water) & tempered – high-strength structural steel,,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.95,0.5,97.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 855C (1570F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",10
13,13,AISI 4118 Steel,"Direct Quenched From Pot, Carburized, 150C (300F) Temper",1225.0,903.0,9.0,5,Carburized – quenched (oil) – wear-resistant surface steel (variant),,,,1,Steel database with labelled clusters,,,Ultimate tensile strength,MPa,Yield strength,MPa,Ductility,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,98.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Direct Quenched From Pot, Carburized, 150C (300F) Temper",5
