DOIs,Files,problem,status,Table_topic,title,abstract,Material,Tensile_name,Tensile_value,Tensile_unit,Yield_name,Yield_value,Yield_unit,Elongation_name,Elongation_value,Elongation_unit,H,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Y,Zr,Nb,Mo,Sn,Sb,La,Ce,Ta,W,Pb,Bi,Other_ele,Text_addition,Text,actions,source_entry,cluster_number,cluster_label,cluster_number_0_to_11
,,,1,Steel database with labelled clusters,,,AISI 8822H Steel,Ultimate tensile strength,1250.0,MPa,Yield strength,900.0,MPa,Ductility,13.0,%,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.875,97.205,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized, Machined To 25 mm (1 In.) Rounds, Pseudocarburized, 865C (1590F) Reheat, 150C (300F) Temper","Normalized, Machined To 25 mm (1 In.) Rounds, Pseudocarburized, 865C (1590F) Reheat, 150C (300F) Temper",960,0,Carburized – quenched (oil) – wear-resistant surface steel,0
,,,1,Steel database with labelled clusters,,,AISI 1144 Steel,Ultimate tensile strength,585.0,MPa,Yield strength,345.0,MPa,Ductility,25.0,%,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.285,0.0,0.0,0.0,0.0,0.0,1.5,97.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Annealed At 790C (1450F), Furnace Cooled 11C (20F) Per Hour To 620C, Air Cooled, 25 mm (1 In.) Round","Annealed At 790C (1450F), Furnace Cooled 11C (20F) Per Hour To 620C, Air Cooled, 25 mm (1 In.) Round",1852,7,Annealed – easy-to-machine – round annealed stock,7
,,,1,Steel database with labelled clusters,,,AISI 4419 Steel,Ultimate tensile strength,831.0,MPa,Yield strength,608.0,MPa,Ductility,19.0,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.55,98.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Direct Quenched From Pot, 150C (300F) Temper","Direct Quenched From Pot, 150C (300F) Temper",284,5,Carburized – quenched (oil) – wear-resistant surface steel (variant),5
,,,1,Steel database with labelled clusters,,,AISI 86B30H Steel,Ultimate tensile strength,958.0,MPa,Yield strength,910.0,MPa,Ductility,18.0,%,0.0,0.00175,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,97.34825,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched 845C (1550F), 540C (1000F) Temper, 13 mm (0.5 In.) Round","Water Quenched 845C (1550F), 540C (1000F) Temper, 13 mm (0.5 In.) Round",798,10,Quenched (water) & tempered – high-strength structural steel,10
,,,1,Steel database with labelled clusters,,,ASTM A283 Steel,Ultimate tensile strength,310.0,MPa,Yield strength,165.0,MPa,Ductility,27.0,%,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.9,98.63,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Grade A,Grade A,1607,1,Hot rolled – general construction steel,1
,,,1,Steel database with labelled clusters,,,AISI 4150 Steel,Ultimate tensile strength,731.0,MPa,Yield strength,380.0,MPa,Ductility,20.0,%,0.0,0.0,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.95,0.875,97.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Annealed 815C (1500F),Annealed 815C (1500F),226,7,Annealed – easy-to-machine – round annealed stock,7
,,,1,Steel database with labelled clusters,,,AISI 4140 Steel,Ultimate tensile strength,883.0,MPa,Yield strength,710.0,MPa,Ductility,21.0,%,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.95,0.875,97.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Oil Quenched, 50 mm (2 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)","Oil Quenched, 50 mm (2 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)",27,6,Quenched (oil) & tempered – high-strength structural steel,6
,,,1,Steel database with labelled clusters,,,AISI 1021 Steel,Ultimate tensile strength,484.0,MPa,Yield strength,360.0,MPa,Ductility,33.0,%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.75,98.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Cold Rolled, 25 mm (1 In.) Round","Cold Rolled, 25 mm (1 In.) Round",1745,3,Normalized – easy-to-machine stock (cold drawn),3
,,,1,Steel database with labelled clusters,,,AISI 4820 Steel,Ultimate tensile strength,1410.0,MPa,Yield strength,1141.0,MPa,Ductility,13.0,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.6,95.145,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Double Quenched And Tempered (150C (300F)), 1.2 mm Case Depth","Double Quenched And Tempered (150C (300F)), 1.2 mm Case Depth",438,5,Carburized – quenched (oil) – wear-resistant surface steel (variant),5
,,,1,Steel database with labelled clusters,,,JIS S45C Steel,Ultimate tensile strength,686.0,MPa,Yield strength,490.0,MPa,Ductility,17.0,%,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.03,0.035,0.0,0.0,0.0,0.0,0.2,0.75,97.785,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Tempered,Tempered,1935,2,Quenched (oil) – general-purpose steel (tested),2
