DOIs,Files,problem,status,Table_topic,title,abstract,Material,Tensile_name,Tensile_value,Tensile_unit,Yield_name,Yield_value,Yield_unit,Elongation_name,Elongation_value,Elongation_unit,H,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Y,Zr,Nb,Mo,Sn,Sb,La,Ce,Ta,W,Pb,Bi,Other_ele,Text_addition,Text,actions,source_entry,cluster_number,cluster_label,cluster_number_0_to_11
,,,1,Steel database with labelled clusters,,,AISI 1022 Steel,Ultimate tensile strength,615.0,MPa,Yield strength,380.0,MPa,Ductility,25.0,%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.85,98.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Mock Carburized At 910C (1670F) For 8 Hours, 775C (1430F) Reheat, Water Quenched, 175C (350F) Temper, 25 mm (1 In.) Round","Mock Carburized At 910C (1670F) For 8 Hours, 775C (1430F) Reheat, Water Quenched, 175C (350F) Temper, 25 mm (1 In.) Round",1634,8,Carburized – quenched (oil) – wear-resistant surface steel (variant),8
,,,1,Steel database with labelled clusters,,,ASTM A387 Alloy Steel,Ultimate tensile strength,450.0,MPa,Yield strength,275.0,MPa,Ductility,22.0,%,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.035,0.035,0.0,0.0,0.0,0.0,0.975,0.525,97.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Grade 12, Chromium Molybdenum","Grade 12, Chromium Molybdenum",1425,2,Quenched (oil) – general-purpose steel (tested),2
,,,1,Steel database with labelled clusters,,,AISI 1030 Steel,Ultimate tensile strength,525.0,MPa,Yield strength,440.0,MPa,Ductility,12.0,%,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.75,98.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Cold Drawn, 19-32 mm (0.75-1.25 In) Round","Cold Drawn, 19-32 mm (0.75-1.25 In) Round",1742,3,Normalized – easy-to-machine stock (cold drawn),3
,,,1,Steel database with labelled clusters,,,AISI Grade 18Ni (350) Maraging Steel,Ultimate tensile strength,2391.0,MPa,Yield strength,2348.0,MPa,Ductility,7.0,%,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.0,0.0,1.4,0.0,0.0,0.1,62.94,12.0,18.5,0.0,0.0,0.0,0.0,0.01,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Aged, At Rt, Tested Longitudinal, Round Bar 32 mm","Aged, At Rt, Tested Longitudinal, Round Bar 32 mm",1055,2,Quenched (oil) – general-purpose steel (tested),2
,,,1,Steel database with labelled clusters,,,AISI E4340 Steel,Ultimate tensile strength,1282.0,MPa,Yield strength,862.0,MPa,Ductility,12.0,%,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.025,0.02,0.0,0.0,0.0,0.0,0.8,0.75,95.7,0.0,1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized, 25 mm Round","Normalized, 25 mm Round",308,9,Normalized – general-purpose steel (round normalized stock),9
,,,1,Steel database with labelled clusters,,,AISI 4320H Steel,Ultimate tensile strength,1040.0,MPa,Yield strength,869.0,MPa,Ductility,15.0,%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.55,96.425,0.0,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized 925C (1700F), Pseudocarburized At 925C (1700F) For 8 Hrs., Reheated To 775C (1425F) And Oil Quenched, 150C (300F) Temper; Tested In 12.8 mm Rounds","Normalized 925C (1700F), Pseudocarburized At 925C (1700F) For 8 Hrs., Reheated To 775C (1425F) And Oil Quenched, 150C (300F) Temper; Tested In 12.8 mm Rounds",433,0,Carburized – quenched (oil) – wear-resistant surface steel,0
,,,1,Steel database with labelled clusters,,,AISI 1026 Steel,Ultimate tensile strength,440.0,MPa,Yield strength,240.0,MPa,Ductility,24.0,%,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.75,98.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Hot Rolled, 19-32 mm (0.75-1.25 In) Round","Hot Rolled, 19-32 mm (0.75-1.25 In) Round",1694,3,Normalized – easy-to-machine stock (cold drawn),3
,,,1,Steel database with labelled clusters,,,AISI 5160 Steel,Ultimate tensile strength,1170.0,MPa,Yield strength,1070.0,MPa,Ductility,14.0,%,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.8,0.875,97.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Oil Quenched From 830C (1525F), 540C (1000F) Temper, 13 mm (0.5 In.) Round","Oil Quenched From 830C (1525F), 540C (1000F) Temper, 13 mm (0.5 In.) Round",599,6,Quenched (oil) & tempered – high-strength structural steel,6
,,,1,Steel database with labelled clusters,,,AISI 1080 Steel,Ultimate tensile strength,1130.0,MPa,Yield strength,710.0,MPa,Ductility,15.0,%,0.0,0.0,0.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.75,98.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Oil Quenched From 815C (1500F), 540C (1000F) Temper, 50 mm (2 In.) Round","Oil Quenched From 815C (1500F), 540C (1000F) Temper, 50 mm (2 In.) Round",1835,6,Quenched (oil) & tempered – high-strength structural steel,6
,,,1,Steel database with labelled clusters,,,AISI E4340 Steel,Ultimate tensile strength,1005.0,MPa,Yield strength,938.0,MPa,Ductility,20.0,%,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.025,0.02,0.0,0.0,0.0,0.0,0.8,0.75,95.7,0.0,1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Oil Quenched 845C, 650C (1200F) Temper","Oil Quenched 845C, 650C (1200F) Temper",306,6,Quenched (oil) & tempered – high-strength structural steel,6
